season,team,wins,losses,net_rank,seed,region
2012,St. Bonaventure,0.0,3.0,72,14,
2012,Syracuse,21.0,10.0,1,1,
2012,Temple,2.0,7.0,20,5,
2012,Texas,11.0,13.0,50,11,
2012,UNC Asheville,0.0,4.0,104,16,
2012,UNLV,1.0,5.0,18,6,
2012,VCU,7.0,12.0,38,12,
2012,Vanderbilt,1.0,6.0,19,5,
2012,Vermont,0.0,7.0,135,16,
2012,Virginia,13.0,8.0,53,10,
2012,West Virginia,14.0,11.0,57,10,
2012,Western Kentucky,3.0,5.0,189,16,
2012,Wichita St.,9.0,7.0,12,5,
2012,Wisconsin,24.0,15.0,23,4,
2012,Xavier,18.0,11.0,41,10,
2013,Akron,0.0,6.0,42,12,
2013,Albany,0.0,3.0,131,15,
2013,Arizona,21.0,13.0,15,6,
2013,Belmont,0.0,6.0,19,11,
2013,Boise St.,0.0,3.0,44,13,
2013,Bucknell,0.0,4.0,51,11,
2013,Butler,17.0,9.0,22,6,
2013,California,2.0,4.0,54,12,
2013,Cincinnati,6.0,9.0,50,10,
2013,Colorado,3.0,6.0,38,10,
2013,Colorado St.,2.0,5.0,18,8,
2013,Creighton,12.0,10.0,25,7,
2013,Davidson,3.0,6.0,61,14,
2013,Duke,41.0,14.0,1,2,
2013,Florida,25.0,10.0,7,3,
2013,Florida Gulf Coast,2.0,3.0,93,15,
2013,Georgetown,3.0,7.0,11,2,
2013,Gonzaga,35.0,17.0,6,1,
2013,Harvard,2.0,4.0,92,14,
2013,Illinois,8.0,8.0,40,7,
2013,Indiana,7.0,7.0,8,1,
2013,Iona,0.0,7.0,98,15,
2013,Iowa St.,12.0,11.0,45,10,
2013,James Madison,1.0,2.0,182,16,
2013,Kansas,41.0,15.0,5,1,
2013,Kansas St.,12.0,10.0,20,4,
2013,LIU Brooklyn,0.0,2.0,179,16,
2013,La Salle,2.0,1.0,46,13,
2013,Liberty,1.0,3.0,287,16,
2013,Louisville,22.0,10.0,3,1,
2013,Marquette,12.0,12.0,13,3,
2013,Memphis,10.0,9.0,12,6,
2013,Miami FL,12.0,7.0,4,2,
2013,Michigan,26.0,12.0,21,4,
2013,Michigan St.,35.0,16.0,9,3,
2013,Middle Tennessee,2.0,2.0,28,11,
2013,Minnesota,2.0,5.0,34,11,
2013,Mississippi,3.0,4.0,48,12,
2013,Missouri,5.0,9.0,36,9,
2013,Montana,0.0,6.0,74,13,
2013,New Mexico,3.0,6.0,2,3,
2013,New Mexico St.,1.0,9.0,55,13,
2013,North Carolina,41.0,13.0,17,8,
2013,North Carolina A&T,0.0,1.0,213,16,
2013,North Carolina St.,8.0,7.0,33,8,
2013,Northwestern St.,0.0,1.0,78,14,
2013,Notre Dame,10.0,9.0,35,7,
2013,Ohio St.,15.0,11.0,10,2,
2013,Oklahoma,12.0,10.0,39,10,
2013,Oklahoma St.,2.0,7.0,27,5,
2013,Oregon,17.0,10.0,47,12,
2013,Pacific,0.0,1.0,97,15,
2013,Pittsburgh,8.0,8.0,43,8,
2013,Saint Louis,3.0,4.0,16,4,
2013,Saint Mary's,6.0,10.0,29,11,
2013,San Diego St.,13.0,11.0,30,7,
2013,South Dakota St.,0.0,7.0,62,13,
2013,Southern,0.0,1.0,180,16,
2013,Syracuse,21.0,10.0,14,4,
2013,Temple,2.0,7.0,41,9,
2013,UCLA,21.0,11.0,26,6,
2013,UNLV,1.0,5.0,23,5,
2013,VCU,7.0,12.0,24,5,
2013,Valparaiso,0.0,2.0,58,14,
2013,Villanova,29.0,11.0,52,9,
2013,Western Kentucky,3.0,5.0,150,16,
2013,Wichita St.,9.0,7.0,37,9,
2013,Wisconsin,24.0,15.0,32,5,
2014,Albany,0.0,3.0,185,16,
2014,American,0.0,3.0,118,15,
2014,Arizona,21.0,13.0,2,1,
2014,Arizona St.,1.0,4.0,44,10,
2014,BYU,5.0,9.0,31,10,
2014,Baylor,21.0,12.0,30,6,
2014,Cal Poly,0.0,1.0,208,16,
2014,Cincinnati,6.0,9.0,21,5,
2014,Coastal Carolina,0.0,2.0,196,16,
2014,Colorado,3.0,6.0,34,8,
2014,Connecticut,30.0,7.0,22,7,
2014,Creighton,12.0,10.0,10,3,
2014,Dayton,6.0,6.0,43,11,
2014,Delaware,0.0,2.0,65,13,
2014,Duke,41.0,14.0,9,3,
2014,Eastern Kentucky,0.0,1.0,97,15,
2014,Florida,25.0,10.0,1,1,
2014,George Washington,0.0,1.0,29,9,
2014,Gonzaga,35.0,17.0,20,8,
2014,Harvard,2.0,4.0,46,12,
2014,Iowa,4.0,6.0,56,11,
2014,Iowa St.,12.0,11.0,7,3,
2014,Kansas,41.0,15.0,3,2,
2014,Kansas St.,12.0,10.0,51,9,
2014,Kentucky,34.0,13.0,17,8,
2014,Louisiana Lafayette,0.0,2.0,90,14,
2014,Louisville,22.0,10.0,19,4,
2014,Manhattan,0.0,1.0,60,13,
2014,Massachusetts,0.0,1.0,23,6,
2014,Memphis,10.0,9.0,37,8,
2014,Mercer,1.0,1.0,81,14,
2014,Michigan,26.0,12.0,11,2,
2014,Michigan St.,35.0,16.0,18,4,
2014,Milwaukee,0.0,1.0,131,15,
2014,Mount St. Mary's,0.0,3.0,189,16,
2014,Nebraska,0.0,2.0,48,11,
2014,New Mexico,3.0,6.0,12,7,
2014,New Mexico St.,1.0,9.0,72,13,
2014,North Carolina,41.0,13.0,25,6,
2014,North Carolina Central,0.0,1.0,99,14,
2014,North Carolina St.,8.0,7.0,55,12,
2014,North Dakota St.,1.0,4.0,35,12,
2014,Ohio St.,15.0,11.0,24,6,
2014,Oklahoma,12.0,10.0,26,5,
2014,Oklahoma St.,2.0,7.0,45,9,
2014,Oregon,17.0,10.0,28,7,
2014,Pittsburgh,8.0,8.0,39,9,
2014,Providence,3.0,6.0,40,11,
2014,Saint Joseph's,1.0,3.0,32,10,
2014,Saint Louis,3.0,4.0,27,5,
2014,San Diego St.,13.0,11.0,15,4,
2014,Stanford,4.0,2.0,41,10,
2014,Stephen F. Austin,2.0,5.0,52,12,
2014,Syracuse,21.0,10.0,16,3,
2014,Tennessee,19.0,12.0,42,11,
2014,Texas,11.0,13.0,36,7,
2014,Texas Southern,0.0,5.0,239,16,
2014,Tulsa,0.0,1.0,73,13,
2014,UCLA,21.0,11.0,14,4,
2014,VCU,7.0,12.0,13,5,
2014,Villanova,29.0,11.0,5,2,
2014,Virginia,13.0,8.0,8,1,
2014,Weber St.,0.0,2.0,149,16,
2014,Western Michigan,0.0,1.0,66,14,
2014,Wichita St.,9.0,7.0,4,1,
2014,Wisconsin,24.0,15.0,6,2,
2014,Wofford,1.0,6.0,153,15,
2014,Xavier,18.0,11.0,47,12,
2015,Albany,0.0,3.0,99,14,
2015,Arizona,21.0,13.0,5,2,
2015,Arkansas,13.0,8.0,20,5,
2015,BYU,5.0,9.0,36,11,
2015,Baylor,21.0,12.0,10,3,
2015,Belmont,0.0,6.0,105,15,
2015,Boise St.,0.0,3.0,40,11,
2015,Buffalo,2.0,4.0,28,12,
2015,Butler,17.0,9.0,31,6,
2015,Cincinnati,6.0,9.0,37,8,
2015,Coastal Carolina,0.0,2.0,130,16,
2015,Davidson,3.0,6.0,35,10,
2015,Dayton,6.0,6.0,32,11,
2015,Duke,41.0,14.0,6,1,
2015,Eastern Washington,0.0,2.0,74,13,
2015,Georgetown,3.0,7.0,25,4,
2015,Georgia,0.0,4.0,38,10,
2015,Georgia St.,1.0,4.0,53,14,
2015,Gonzaga,35.0,17.0,8,2,
2015,Hampton,0.0,3.0,251,16,
2015,Harvard,2.0,4.0,52,13,
2015,Indiana,7.0,7.0,61,10,
2015,Iowa,4.0,6.0,43,7,
2015,Iowa St.,12.0,11.0,9,3,
2015,Kansas,41.0,15.0,3,2,
2015,Kentucky,34.0,13.0,1,1,
2015,LSU,4.0,5.0,57,9,
2015,Lafayette,0.0,1.0,122,16,
2015,Louisville,22.0,10.0,21,4,
2015,Manhattan,0.0,1.0,168,16,
2015,Maryland,10.0,9.0,13,4,
2015,Michigan St.,35.0,16.0,23,7,
2015,Mississippi,3.0,4.0,60,11,
2015,New Mexico St.,1.0,9.0,103,15,
2015,North Carolina,41.0,13.0,11,4,
2015,North Carolina St.,8.0,7.0,39,8,
2015,North Dakota St.,1.0,4.0,92,15,
2015,North Florida,,,162,16,
2015,Northeastern,0.0,2.0,86,14,
2015,Northern Iowa,4.0,4.0,14,5,
2015,Notre Dame,10.0,9.0,16,3,
2015,Ohio St.,15.0,11.0,41,10,
2015,Oklahoma,12.0,10.0,18,3,
2015,Oklahoma St.,2.0,7.0,49,9,
2015,Oregon,17.0,10.0,27,8,
2015,Providence,3.0,6.0,22,6,
2015,Purdue,23.0,15.0,55,9,
2015,Robert Morris,0.0,4.0,171,16,
2015,SMU,0.0,2.0,12,6,
2015,San Diego St.,13.0,11.0,26,8,
2015,St. John's,1.0,3.0,44,9,
2015,Stephen F. Austin,2.0,5.0,33,12,
2015,Texas,11.0,13.0,42,11,
2015,Texas Southern,0.0,5.0,118,15,
2015,UAB,1.0,3.0,129,14,
2015,UC Irvine,1.0,2.0,88,13,
2015,UCLA,21.0,11.0,48,11,
2015,Utah,3.0,3.0,19,5,
2015,VCU,7.0,12.0,15,7,
2015,Valparaiso,0.0,2.0,50,13,
2015,Villanova,29.0,11.0,2,1,
2015,Virginia,13.0,8.0,7,2,
2015,West Virginia,14.0,11.0,24,5,
2015,Wichita St.,9.0,7.0,17,7,
2015,Wisconsin,24.0,15.0,4,1,
2015,Wofford,1.0,6.0,47,12,
2015,Wyoming,0.0,1.0,71,12,
2015,Xavier,18.0,11.0,30,6,
2016,Arizona,21.0,13.0,26,6,
2016,Austin Peay,0.0,2.0,189,16,
2016,Baylor,21.0,12.0,25,5,
2016,Buffalo,2.0,4.0,91,14,
2016,Butler,17.0,9.0,56,9,
2016,Cal St. Bakersfield,0.0,1.0,117,15,
2016,California,2.0,4.0,16,4,
2016,Chattanooga,0.0,3.0,50,12,
2016,Cincinnati,6.0,9.0,48,9,
2016,Colorado,3.0,6.0,35,8,
2016,Connecticut,30.0,7.0,32,9,
2016,Dayton,6.0,6.0,22,7,
2016,Duke,41.0,14.0,20,4,
2016,Fairleigh Dickinson,1.0,2.0,204,16,
2016,Florida Gulf Coast,2.0,3.0,215,16,
2016,Fresno St.,0.0,1.0,66,14,
2016,Gonzaga,35.0,17.0,45,11,
2016,Green Bay,0.0,1.0,112,14,
2016,Hampton,0.0,3.0,154,16,
2016,Hawaii,1.0,1.0,80,13,
2016,Holy Cross,0.0,1.0,248,16,
2016,Indiana,7.0,7.0,24,5,
2016,Iona,0.0,7.0,77,13,
2016,Iowa,4.0,6.0,29,7,
2016,Iowa St.,12.0,11.0,23,4,
2016,Kansas,41.0,15.0,1,1,
2016,Kentucky,34.0,13.0,11,4,
2016,Little Rock,1.0,1.0,42,12,
2016,Maryland,10.0,9.0,14,5,
2016,Miami FL,12.0,7.0,9,3,
2016,Michigan,26.0,12.0,57,11,
2016,Michigan St.,35.0,16.0,12,2,
2016,Middle Tennessee,2.0,2.0,78,15,
2016,North Carolina,41.0,13.0,5,1,
2016,Northern Iowa,4.0,4.0,70,11,
2016,Notre Dame,10.0,9.0,31,6,
2016,Oklahoma,12.0,10.0,6,2,
2016,Oregon,17.0,10.0,2,1,
2016,Oregon St.,3.0,2.0,33,7,
2016,Pittsburgh,8.0,8.0,53,10,
2016,Providence,3.0,6.0,40,9,
2016,Purdue,23.0,15.0,15,5,
2016,Saint Joseph's,1.0,3.0,21,8,
2016,Seton Hall,1.0,5.0,19,6,
2016,South Dakota St.,0.0,7.0,28,12,
2016,Southern,0.0,1.0,186,16,
2016,Stephen F. Austin,2.0,5.0,61,14,
2016,Stony Brook,0.0,1.0,60,13,
2016,Syracuse,21.0,10.0,72,10,
2016,Temple,2.0,7.0,59,10,
2016,Texas,11.0,13.0,27,6,
2016,Texas A&M,9.0,9.0,18,3,
2016,Texas Tech,14.0,7.0,36,8,
2016,Tulsa,0.0,1.0,58,11,
2016,UNC Asheville,0.0,4.0,137,15,
2016,UNC Wilmington,0.0,3.0,46,13,
2016,USC,5.0,7.0,51,8,
2016,Utah,3.0,3.0,8,3,
2016,VCU,7.0,12.0,37,10,
2016,Vanderbilt,1.0,6.0,63,11,
2016,Villanova,29.0,11.0,4,2,
2016,Virginia,13.0,8.0,3,1,
2016,Weber St.,0.0,2.0,108,15,
2016,West Virginia,14.0,11.0,10,3,
2016,Wichita St.,9.0,7.0,47,11,
2016,Wisconsin,24.0,15.0,43,7,
2016,Xavier,18.0,11.0,7,2,
2016,Yale,2.0,5.0,44,12,
2017,Arizona,21.0,13.0,2,2,
2017,Arkansas,13.0,8.0,28,8,
2017,Baylor,21.0,12.0,11,3,
2017,Bucknell,0.0,4.0,63,13,
2017,Butler,17.0,9.0,15,4,
2017,Cincinnati,6.0,9.0,12,6,
2017,Creighton,12.0,10.0,26,6,
2017,Dayton,6.0,6.0,30,7,
